Fecha;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sep-21;oct-21;nov-21;dic-22;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22
Hidráulica;4.057.346.783;4.517.602.492;3.715.416.012;2.745.019.022;2.159.483.245;2.182.252.545;22.094.646.239.999.900;18.832.608.030.000.000;1.396.698.883;1.023.215.446;1.199.445.532;2.536.803.672;2.085.857.451;11.749.701.699.999.900;1.764.806.206;1.782.053.848;19.223.023.759.999.900;1.190.985.484;1.043.519.078;972.977.692;1.153.775.681;71.770.239;1.309.281.418;"2744.808065"""
Turbinación bombeo;32.053.138.900.000.000;40.129.321.899.999.900;330.794.555;15.367.968;238.708.927;105.706.304;115.895.307;159.688.964;118.198.104;232.112.394;20.280.659.899.999.900;269.908.819;215.637.741;285.079.947;27.384.815.299.999.900;336.712.619;299.880.038;27.092.393;21.661.759.400.000.000;339.372.152;304.810.326;385.661.431;36.166.386.700.000.000;"485.359059"""
Nuclear;5.199.740.516;4.358.515.107;4.833.065.002;419.733.293;4.373.250.552;3.684.377.943;5.119.328.941;5.151.337.803;4.890.618.221;4.748.364.457.000.000;35.622.548.070.000.000;3.922.833.452;5.048.424.951;4.771.058.269;4.766.690.052;4.414.715.447;4.066.355.361;4.459.459.166.000.000;50.731.524.979.999.900;51.220.469.299.999.900;4.847.367.123;4.021.440.771;4.231.577.244;"5161.212451"""
Carbón;557.975.979;17.626.671.900.000.000;242.138.946;270.100.026;33.193.111.300.000.000;473.579.232;31.110.233;319.182.668;477.087.202;527.419.848;576.437.576;7.199.263.739.999.990;7.099.632.190.000.000;568.629.528;705.226.125;691.004.601;527.154.558;83.322.046;882.232.497;819.592.534;632.066.719;380.972.026;321.469.754;"693.672984"""
Fuel + Gas;-;-;-;-;-;-;-0.000001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Motores diésel;203.759.973;160.418.085;173.283.976;187.547.789;17.836.229.999.999.900;206.220.592;23.957.681.599.999.900;258.860.338;256.964.192;23.357.056.500.000.000;203.062.243;21.579.723.800.000.000;210.125.165;18.557.552.600.000.000;207.451.789;205.100.257;21.584.438;224.847.296;242.769.547;245.673.515;216.066.723;202.310.552;192.196.854;"200.24196799999999"""
Turbina de gas;28.766.271;18.026.130.000.000.000;27.904.377;24.553.476.999.999.900;24.916.217;34.119.217;40.565.981;47.885.346;71.402.214;46.314.807;30.058.985;29.066.882;34.446.764;34.328.002;38.861.714;3.457.236;42.307.777;47.734.021.999.999.900;79.729.885;85.527.648;8.442.261.599.999.990;79.275.334;47.409.887.000.000.000;"48.856536"""
Turbina de vapor;116.282.053;104.960.847;10.075.825.900.000.000;70.652.976;6.241.677;33.486.942.000.000.000;6.613.421.000.000.000;9.964.419.000.000.000;11.321.021.300.000.000;112.484.255;11.510.902.300.000.000;112.916.219;117.429.802;102.630.663;114.410.944;103.636.366;86.849.653;60.625.902;73.213.599;102.417.012;11.095.399.099.999.900;11.859.882;93.771.169;"122.69665499999999"""
Ciclo combinado;2.729.183.017;1.544.065.785;2.151.091.661;3.384.471.579;2.444.871.606;3.658.878.948;3.718.134.418;4.047.368.387;4.943.197.265;440.705.637;6.317.636.788;5.154.143.508;5.898.394.445;4.671.261.013;38.732.032.000.000.000;3.146.865.903;37.136.394.849.999.900;6.478.937.315;8.460.459.144.999.990;8.082.027.681;7.704.900.731;7.066.859.015;4.672.406.377;"4368.592847"""
Hidroeólica;0.99317;1.226.483;1.921.443;0.835908;32.270.770.000.000.000;3.002.042;35.782.179.999.999.900;2.663.478;1.429.314;18.534.549.999.999.900;11.397.899.999.999.900;1.227.861;1.110.916;1.482.045;21.263.229.999.999.900;1.752.528;1.917.174;244.956;3.562.943;3.517.675;20.750.949.999.999.900;1.350.072;11.694.090.000.000.000;"0.367104"""
Eólica;7.101.249.123;6.294.982.856;5.606.818.805;4.095.800.569;4.785.695.033;3.684.170.619;4.284.090.513;3.747.238.495;3.234.274.816;4.359.563.921;6.421.739.529;6.910.032.613;5.414.777.160.000.000;4.712.962.772;6.528.440.466;5.655.806.361;468.764.999;3.807.180.833;4.566.002.106;4.258.846.638;4.191.189.274;5.099.919.318;6.682.534.764;"5570.2825920000005"""
Solar fotovoltaica;8.484.030.740.000.000;973.686.902;1.688.757.265;1.665.571.492;2.388.831.852;2.325.571.729;2.617.534.056;23.958.309;1.927.916.611;1.777.274.811;1.347.957.356;102.370.725;15.692.916.839.999.900;1.693.011.465;1.455.368.818;2.581.307.811;3.380.729.182;3.215.923.445;33.811.566.589.999.900;3.239.672.293;269.350.188;20.053.213.540.000.000;1.533.099.321;"1115.958"""
Solar térmica;102.634.029;13.818.132.699.999.900;35.501.542.700.000.000;266.787.519;6.455.974.570.000.000;655.361.716;828.492.494;6.614.451.019.999.990;447.444.657;328.182.894;17.242.624.600.000.000;103.956.001;170.978.835;208.192.368;12.056.837.399.999.900;41.277.761;621.247.495;534.185.927;6.672.357.830.000.000;61.995.899;437.343.279;166.240.105;104.768.426;"59.778183"""
Otras renovables;390.590.396;365.191.889;359.459.071;392.274.795;39.093.192.700.000.000;358.010.046;352.713.786;410.590.237;396.278.098;43.304.749.400.000.000;434.361.576;436.423.907;428.663.218;374.913.003;423.887.477;430.376.969;397.335.983;415.748.786;40.934.559.499.999.900;383.442.347;341.437.356;366.964.524;364.536.652;"319.642072"""
Cogeneración;2.405.236.806;183.816.573;2.253.823.616;2.193.285.205;22.063.288.620.000.000;21.812.767.940.000.000;2.243.226.356;2.106.285.519;2.166.255.198;2.147.907.197;2.173.751.719;2.175.103.528;2.147.921.609;2.119.152.721;2.217.055.737;1.709.641.446;1.870.643.862;14.673.834.920.000.000;10.537.381.990.000.000;779.410.997;73.919.081;1.102.000.335;1.453.363.695;"1098.167328"""
Residuos no renovables;18.293.208.900.000.000;172.740.345;184.342.436;178.093.968;177.333.071;198.273.452;205.014.809;212.202.012;179.817.184;187.508;17.926.082;181.223.116;169.946.929;14.454.671.599.999.900;183.995.605;171.926.116;170.585.177;155.903.954;181.020.454;164.769.537;13.977.665.599.999.900;155.069.311;127.558.061;"134.66801500000003"""
Residuos renovables;59.850.282;6.906.586.800.000.000;72.598.535;74.357.494;59.595.065.999.999.900;7.950.385;8.191.575;81.751.572;68.076.048;68.765.996;80.249.832;82.210.439;79.365.292;72.930.818;8.206.925.100.000.000;72.848.577;79.964.147;76.946.932;7.573.252.099.999.990;6.548.815;59.668.639.000.000.000;71.884.421;67.535.659;"73.273156"""
Generación total;2.430.547.495;21.134.389.784;22.097.189.386;19.900.364.428.999.900;20.471.481.075;19.863.791.971.000.000;22.436.768.607.999.900;21.585.235.814;20.688.868.220.000.000;2.063.464.191;23.017.698.420.999.900;23.875.280.879;24.302.335.181.000.000;21.120.725.026;22.758.010.234.000.000;21.751.098.819;22.084.406.638;23.242.456.503.999.900;26.409.488.103;25.284.741.791;23.658.546.898.999.900;21.941.569.779;21.564.342.557;"22197.577015"""
